TimeStamp,Value,HapticFeedback
2023-12-27 23:10:33,81,False
2023-12-27 23:10:34,0,False
2023-12-27 23:10:35,83,False
2023-12-27 23:10:37,85,False
2023-12-27 23:10:38,86,False
2023-12-27 23:10:40,87,False
2023-12-27 23:10:41,89,False
2023-12-27 23:10:42,90,False
2023-12-27 23:10:43,95,False
2023-12-27 23:10:44,94,False
2023-12-27 23:10:45,96,False
2023-12-27 23:10:46,99,False
2023-12-27 23:10:47,102,False
2023-12-27 23:10:48,106,False
2023-12-27 23:10:49,107,False
2023-12-27 23:10:50,108,False
2023-12-27 23:10:52,111,False
2023-12-27 23:10:53,113,False
2023-12-27 23:10:56,112,False
2023-12-27 23:10:57,110,False
2023-12-27 23:10:58,109,False
2023-12-27 23:10:59,108,False
2023-12-27 23:11:00,107,False
2023-12-27 23:11:01,105,False
2023-12-27 23:11:02,103,False
2023-12-27 23:11:03,101,False
2023-12-27 23:11:04,100,False
2023-12-27 23:11:06,99,False
2023-12-27 23:11:09,98,False
2023-12-27 23:11:09,97,False
2023-12-27 23:11:10,96,False
2023-12-27 23:11:12,0,False
2023-12-27 23:11:13,96,False
2023-12-27 23:11:14,95,False
2023-12-27 23:11:15,94,False
2023-12-27 23:11:16,0,False
2023-12-27 23:11:17,93,False
2023-12-27 23:11:19,92,False
2023-12-27 23:11:21,95,False
2023-12-27 23:11:22,97,False
2023-12-27 23:11:23,98,False
2023-12-27 23:11:24,99,False
2023-12-27 23:11:26,100,False
2023-12-27 23:11:27,99,False
2023-12-27 23:11:30,100,False
2023-12-27 23:11:33,99,False
2023-12-27 23:11:34,100,False
2023-12-27 23:11:35,101,False
2023-12-27 23:11:36,102,False
2023-12-27 23:11:37,103,False
2023-12-27 23:11:38,101,False
2023-12-27 23:11:40,102,False
2023-12-27 23:11:42,101,False
2023-12-27 23:11:45,100,False
2023-12-27 23:11:45,99,False
2023-12-27 23:11:47,97,False
2023-12-27 23:11:48,94,False
2023-12-27 23:11:50,95,False
2023-12-27 23:11:52,94,False
2023-12-27 23:11:53,93,False
2023-12-27 23:11:54,92,False
2023-12-27 23:11:55,91,False
2023-12-27 23:11:56,0,False
2023-12-27 23:11:57,90,False
2023-12-27 23:11:58,88,False
2023-12-27 23:11:59,0,False
2023-12-27 23:12:00,89,False
2023-12-27 23:12:01,90,False
2023-12-27 23:12:07,91,False
2023-12-27 23:12:08,92,False
2023-12-27 23:12:09,91,False
2023-12-27 23:12:10,90,False
2023-12-27 23:12:11,88,False
