TimeStamp,Value,HapticFeedback
2023-12-27 16:01:47,85,False
2023-12-27 16:01:48,84,False
2023-12-27 16:01:50,86,False
2023-12-27 16:01:51,87,False
2023-12-27 16:01:55,88,False
2023-12-27 16:01:56,87,False
2023-12-27 16:01:57,89,False
2023-12-27 16:01:58,0,False
2023-12-27 16:02:00,91,False
2023-12-27 16:02:01,93,False
2023-12-27 16:02:03,95,False
2023-12-27 16:02:04,94,False
2023-12-27 16:02:05,99,False
2023-12-27 16:02:06,100,False
2023-12-27 16:02:07,98,False
2023-12-27 16:02:08,97,False
2023-12-27 16:02:09,95,False
2023-12-27 16:02:10,93,False
2023-12-27 16:02:13,92,False
2023-12-27 16:02:13,90,False
2023-12-27 16:02:16,91,False
2023-12-27 16:02:22,90,False
2023-12-27 16:02:24,89,False
2023-12-27 16:02:25,90,False
2023-12-27 16:02:26,91,False
2023-12-27 16:02:27,93,False
2023-12-27 16:02:28,92,False
2023-12-27 16:02:29,91,False
2023-12-27 16:02:30,90,False
2023-12-27 16:02:34,91,False
2023-12-27 16:02:35,90,False
2023-12-27 16:02:36,0,False
2023-12-27 16:02:37,91,False
2023-12-27 16:02:38,90,False
2023-12-27 16:02:42,89,False
2023-12-27 16:02:44,91,False
2023-12-27 16:02:44,92,False
2023-12-27 16:02:47,91,False
2023-12-27 16:02:47,90,False
2023-12-27 16:02:48,89,False
2023-12-27 16:02:49,88,False
2023-12-27 16:02:54,87,False
2023-12-27 16:02:54,86,False
2023-12-27 16:02:55,87,False
2023-12-27 16:02:56,88,False
2023-12-27 16:02:59,89,False
2023-12-27 16:03:03,90,False
2023-12-27 16:03:03,91,False
2023-12-27 16:03:04,89,False
2023-12-27 16:03:05,90,False
2023-12-27 16:03:06,91,False
2023-12-27 16:03:07,90,False
2023-12-27 16:03:08,91,False
2023-12-27 16:03:09,90,False
2023-12-27 16:03:10,89,False
2023-12-27 16:03:14,88,False
2023-12-27 16:03:14,89,False
2023-12-27 16:03:17,88,False
2023-12-27 16:03:18,87,False
2023-12-27 16:03:19,86,False
2023-12-27 16:03:20,84,False
2023-12-27 16:03:21,83,False
2023-12-27 16:03:22,81,False
2023-12-27 16:03:23,82,False
2023-12-27 16:03:24,83,False
2023-12-27 16:03:25,84,False
2023-12-27 16:03:26,85,False
2023-12-27 16:03:27,87,False
2023-12-27 16:03:29,89,False
2023-12-27 16:03:30,90,False
2023-12-27 16:03:33,91,False
2023-12-27 16:03:37,90,False
2023-12-27 16:03:38,89,False
2023-12-27 16:03:40,88,False
2023-12-27 16:03:43,90,False
2023-12-27 16:03:47,92,False
2023-12-27 16:03:49,94,False
2023-12-27 16:03:50,96,False
2023-12-27 16:03:51,95,False
2023-12-27 16:03:56,96,False
2023-12-27 16:03:57,97,False
2023-12-27 16:03:58,96,False
2023-12-27 16:03:59,97,False
2023-12-27 16:04:00,98,False
2023-12-27 16:04:01,97,False
2023-12-27 16:04:03,96,False
2023-12-27 16:04:04,95,False
2023-12-27 16:04:05,93,False
2023-12-27 16:04:06,94,False
2023-12-27 16:04:07,92,False
2023-12-27 16:04:08,93,False
2023-12-27 16:04:12,92,False
2023-12-27 16:04:13,93,False
2023-12-27 16:04:16,91,False
2023-12-27 16:04:17,90,False
2023-12-27 16:04:18,92,False
2023-12-27 16:04:19,90,False
2023-12-27 16:04:20,89,False
2023-12-27 16:04:21,90,False
2023-12-27 16:04:22,91,False
2023-12-27 16:04:23,89,False
2023-12-27 16:04:24,88,False
2023-12-27 16:04:27,87,False
2023-12-27 16:04:29,88,False
2023-12-27 16:04:30,89,False
2023-12-27 16:04:31,90,False
2023-12-27 16:04:32,91,False
2023-12-27 16:04:33,90,False
2023-12-27 16:04:34,89,False
2023-12-27 16:04:35,87,False
2023-12-27 16:04:37,89,False
2023-12-27 16:04:39,88,False
2023-12-27 16:04:42,89,False
2023-12-27 16:04:44,90,False
2023-12-27 16:04:45,89,False
2023-12-27 16:04:46,88,False
2023-12-27 16:04:47,87,False
2023-12-27 16:04:48,86,False
2023-12-27 16:04:49,87,False
2023-12-27 16:04:50,88,False
2023-12-27 16:04:52,89,False
2023-12-27 16:04:53,90,False
2023-12-27 16:04:55,91,False
2023-12-27 16:04:56,92,False
2023-12-27 16:04:57,91,False
2023-12-27 16:04:58,93,False
2023-12-27 16:04:59,94,False
2023-12-27 16:05:00,95,False
2023-12-27 16:05:01,94,False
2023-12-27 16:05:02,0,False
2023-12-27 16:05:04,94,False
2023-12-27 16:05:05,93,False
2023-12-27 16:05:06,94,False
2023-12-27 16:05:07,95,False
2023-12-27 16:05:09,94,False
2023-12-27 16:05:10,93,False
2023-12-27 16:05:11,94,False
2023-12-27 16:05:12,93,False
2023-12-27 16:05:13,92,False
2023-12-27 16:05:14,91,False
2023-12-27 16:05:15,92,False
2023-12-27 16:05:16,91,False
2023-12-27 16:05:17,90,False
2023-12-27 16:05:19,89,False
2023-12-27 16:05:20,90,False
2023-12-27 16:05:21,91,False
2023-12-27 16:05:22,92,False
2023-12-27 16:05:25,93,False
2023-12-27 16:05:25,92,False
2023-12-27 16:05:27,91,False
2023-12-27 16:05:28,90,False
2023-12-27 16:05:30,87,False
2023-12-27 16:05:31,86,False
2023-12-27 16:05:32,84,False
2023-12-27 16:05:33,85,False
2023-12-27 16:05:34,86,False
2023-12-27 16:05:36,87,False
2023-12-27 16:05:37,89,False
2023-12-27 16:05:39,91,False
2023-12-27 16:05:40,92,False
2023-12-27 16:05:42,91,False
2023-12-27 16:05:43,92,False
2023-12-27 16:05:44,94,False
2023-12-27 16:05:45,93,False
2023-12-27 16:05:46,92,False
2023-12-27 16:05:47,91,False
2023-12-27 16:05:48,92,False
2023-12-27 16:05:49,91,False
2023-12-27 16:05:50,90,False
2023-12-27 16:05:51,89,False
2023-12-27 16:05:54,90,False
2023-12-27 16:05:54,91,False
2023-12-27 16:05:58,93,False
2023-12-27 16:06:00,91,False
2023-12-27 16:06:01,0,False
2023-12-27 16:06:02,90,False
2023-12-27 16:06:03,0,False
2023-12-27 16:06:04,90,False
2023-12-27 16:06:07,89,False
2023-12-27 16:06:07,90,False
2023-12-27 16:06:08,89,False
2023-12-27 16:06:09,87,False
2023-12-27 16:06:10,85,False
2023-12-27 16:06:11,0,False
